"","radians","center","pos_1","pos_2","type","degrees","map_file","PE","object","isFiller","outdoors_response","stimulus","old_new","conf_resp.keys","conf_resp.rt","response","key_resp_2.keys","participant","recog_acc","in_out_resp","in_out_corr_resp","in_out_rt","fixation_prediction","fixation_error","trial_n","age","gender","handedness","location_error","age_group"
"131","1.51268715800044","106.588235294118","196.588235294118","16.5882352941177","low","86.714550458624","maps/google_map_1.png","19.8736848354936","objects/1/1_121.jpg","0.0","indoors","Toast.jpg","old",6,3.34024495980702,299.5,"['return']",54,1,"indoors",1,0.705422553233802,NA,NA,97,9,"m","r",147.214550458624,"CH"
"133","1.92053585998555","106.588235294118","196.588235294118","16.5882352941177","low","110.094412355859","maps/google_map_1.png","3.50617706174165","objects/1/1_17.jpg","0.0","outdoors","TigerWhite.jpg","old",6,2.11421007825993,100,"['return']",54,1,"outdoors",1,0.332468430278823,NA,NA,49,9,"m","r",10.094412355859,"CH"
"135","3.14035207131863","106.588235294118","196.588235294118","16.5882352941177","medium","180.020182432278","maps/google_map_1.png","73.4319471381605","objects/1/1_98.jpg","0.0","indoors","Pasta_Spaghetti.jpg","old",6,1.70689487387426,74,"['return']",54,1,"indoors",1,1.05374997807667,NA,NA,40,9,"m","r",106.020182432278,"CH"
"137","3.54111631998545","106.588235294118","196.588235294118","16.5882352941177","medium","202.99392917114","maps/google_map_1.png","96.4056938770227","objects/1/1_46.jpg","0.0","outdoors","Hat_Cowboy.jpg","old",6,1.95639478042722,267,"['return']",54,1,"outdoors",1,0.81223392765969,NA,NA,98,9,"m","r",64.00607082886,"CH"
"141","2.03212910023301","106.588235294118","196.588235294118","16.5882352941177","low","116.491477083421","maps/google_map_1.png","9.90324178930355","objects/1/1_137.jpg","0.0","indoors","Tape_Clear.jpg","old",1,0.550410272320732,152.5,"['return']",54,0,"indoors",1,0.505354687338695,NA,NA,73,9,"m","r",36.008522916579,"CH"
"143","2.82823492659707","106.588235294118","196.588235294118","16.5882352941177","medium","162.128116811297","maps/google_map_1.png","55.5398815171793","objects/1/1_4.jpg","0.0","indoors","Knee.jpg","old",6,3.47230780823156,125,"['return']",54,1,"indoors",1,5.89131460874341,NA,NA,26,9,"m","r",37.128116811297,"CH"
"145","4.22756582633053","106.588235294118","16.5882352941177","269.495798319328","singletons","242.344537815126","maps/google_map_1.png","None","objects/1/1_25.jpg","0.0","indoors","Broom_Short.jpg","old",6,1.3955344366841,313.5,"['return']",54,1,"indoors",1,0.158347053686157,NA,NA,51,9,"m","r",71.155462184874,"CH"
"147","3.41831293190116","106.588235294118","196.588235294118","16.5882352941177","medium","195.954244503888","maps/google_map_1.png","89.3660092097707","objects/1/1_66.jpg","0.0","outdoors","Pickaxe.jpg","old",6,2.15619548060931,106,"['return']",54,1,"outdoors",1,0.297814524965361,NA,NA,43,9,"m","r",89.954244503888,"CH"
"150","2.67239462720448","106.588235294118","196.588235294118","16.5882352941177","medium","153.194596463951","maps/google_map_1.png","46.6063611698337","objects/1/1_128.jpg","0.0","indoors","WindowBlinds.jpg","old",6,3.45602514245547,68.5,"['return']",54,1,"indoors",1,0.479104148922488,NA,NA,89,9,"m","r",84.694596463951,"CH"
"152","3.30812390886465","106.588235294118","196.588235294118","16.5882352941177","medium","189.637676304343","maps/google_map_1.png","83.0494410102256","objects/1/1_48.jpg","0.0","indoors","Corkscrew.jpg","old",6,1.78597010252997,205,"['return']",54,1,"indoors",1,0.897507204441354,NA,NA,46,9,"m","r",15.362323695657,"CH"
"156","2.09659235655166","106.588235294118","196.588235294118","16.5882352941177","low","120.186822987038","maps/google_map_1.png","13.5985876929204","objects/1/1_55.jpg","0.0","outdoors","Chipmunk.jpg","old",6,1.90840280381963,292.5,"['return']",54,1,"outdoors",1,0.355339468689635,NA,NA,90,9,"m","r",172.313177012962,"CH"
"160","4.75383099906629","106.588235294118","16.5882352941177","73.4033613445378","singletons","272.512605042017","maps/google_map_1.png","None","objects/1/1_42.jpg","0.0","outdoors","Ambulance.jpg","old",6,2.794223689707,263.5,"['return']",54,1,"outdoors",1,0.236139695392922,NA,NA,81,9,"m","r",9.01260504201701,"CH"
"163","4.62264500499456","106.588235294118","196.588235294118","16.5882352941177","high","264.992388821344","maps/google_map_1.png","158.404153527226","objects/1/1_22.jpg","0.0","indoors","Vase_Decorative.jpg","old",6,2.30831210222095,100,"['return']",54,1,"indoors",1,0.320586459012702,NA,NA,78,9,"m","r",164.992388821344,"CH"
"165","1.56975136905256","106.588235294118","196.588235294118","16.5882352941177","low","89.9857472705286","maps/google_map_1.png","16.602488023589","objects/1/1_34.jpg","0.0","indoors","Ruler_Wooden.jpg","old",1,1.68801207491197,128,"['return']",54,0,"indoors",1,0.202674404252321,NA,NA,11,9,"m","r",38.0142527294714,"CH"
"167","2.7540233426704","106.588235294118","286.588235294118","203.126050420168","singletons","157.873949579832","maps/google_map_1.png","None","objects/1/1_19.jpg","0.0","outdoors","Birdhouse.jpg","old",6,1.8727568902541,268,"['return']",54,1,"outdoors",1,0.318990521598607,NA,NA,24,9,"m","r",110.126050420168,"CH"
"171","1.38573389355742","106.588235294118","16.5882352941177","127.705882352941","singletons","79.436974789916","maps/google_map_1.png","None","objects/1/1_100.jpg","0.0","indoors","Pasta_Macaroni.jpg","old",6,2.04148171492852,68,"['return']",54,1,"indoors",1,0.286012735683471,NA,NA,72,9,"m","r",11.436974789916,"CH"
"173","1.38573389355742","106.588235294118","16.5882352941177","127.705882352941","singletons","79.436974789916","maps/google_map_1.png","None","objects/1/1_111.jpg","0.0","indoors","Hand.jpg","old",6,2.66904620756395,312,"['return']",54,1,"indoors",1,0.526692330371588,NA,NA,72,9,"m","r",127.436974789916,"CH"
"175","4.39380840966929","106.588235294118","196.588235294118","16.5882352941177","high","251.874367433271","maps/google_map_1.png","145.286132139154","objects/1/1_52.jpg","0.0","indoors","Star.jpg","old",6,1.80781706003472,88.5,"['return']",54,1,"outdoors",0,2.10002157534473,NA,NA,74,9,"m","r",163.374367433271,"CH"
"177","3.06418063255711","106.588235294118","196.588235294118","16.5882352941177","medium","175.653666834484","maps/google_map_1.png","69.0654315403662","objects/1/1_20.jpg","0.0","indoors","Clock_Wall.jpg","old",6,1.81220268039033,275,"['return']",54,1,"indoors",1,0.411437819246203,NA,NA,53,9,"m","r",99.346333165516,"CH"
